Locations Axis	Global	
Values axis	Global	
x(mm)	y(mm)	z(mm)	Value(N_m2)	
20	-7.15256e-007	2.5	7.15218e+006	
22.5	-7.15256e-007	2.5	6.9434e+006	
24.8506	0	4.65843	6.48892e+006	
22.4477	0	4.96517	6.66426e+006	
25.0451	0	2.26393	6.74868e+006	
27.8726	0	2.64615	6.43115e+006	
30	-7.15256e-007	5	5.95804e+006	
26.9823	0	5.27198	6.22625e+006	
30.1459	0	2.42268	6.22519e+006	
32.3541	0	2.50397	5.97011e+006	
35.0769	0	4.73339	5.4293e+006	
32.4005	0	4.87712	5.72084e+006	
35.0366	0	2.21517	5.68481e+006	
37.9721	0	2.6318	5.26519e+006	
39.8543	0	4.86904	4.8271e+006	
36.8891	0	5.37207	5.15509e+006	
40	-7.15256e-007	2.5	5.0042e+006	
42.5	-7.15256e-007	2.5	4.66132e+006	
44.8465	0	4.8527	4.22956e+006	
42.5	-7.15256e-007	5	4.47301e+006	
45	-7.15256e-007	2.5	4.32543e+006	
47.499	0	2.49862	4.29351e+006	
47.4922	0	4.98893	4.017e+006	
47.4304	0	7.39409	3.93501e+006	
46.9152	0	10.4311	3.62766e+006	
47.362	0	12.3803	3.60776e+006	
47.7361	0	15.0132	3.32846e+006	
47.4421	0	17.5451	3.32921e+006	
46.7389	0	20.4296	3.09499e+006	
47.3419	0	22.2813	3.06852e+006	
47.4924	0	24.618	2.8401e+006	
47.4297	0	27.3886	2.77742e+006	
46.9244	0	30.3902	2.53328e+006	
47.3568	0	32.35	2.44634e+006	
47.882	0	35.022	2.23516e+006	
47.4449	0	37.42	2.03033e+006	
47.0721	0	40.5507	1.71734e+006	
47.7541	0	42.7388	1.52853e+006	
47.6811	0	45.0953	1.27536e+006	
47.8407	0	46.8203	1.05865e+006	
45.5692	0	47.6925	936256	
42.8571	0	47.1429	1.01959e+006	
39.9212	0	47.2639	1.02118e+006	
36.9366	0	47.5376	984141	
34.9792	0	47.3931	1.02501e+006	
32.7549	0	47.1568	1.07248e+006	
29.8525	0	47.4349	1.03312e+006	
26.8651	0	47.5792	1.00082e+006	
24.9295	0	47.6137	995125	
23.0793	0	47.1663	1.07659e+006	
19.9059	0	47.3541	1.04456e+006	
16.9383	0	47.5286	1.00512e+006	
15.1191	0	47.4899	1.01666e+006	
12.8085	0	46.5856	1.21046e+006	
10.0108	0	47.2785	1.11542e+006	
7.64466	0	47.8523	1.03703e+006	
4.98512	0	47.3065	1.23261e+006	
2.28664	0	47.7164	1.30883e+006	
2.5	-7.15256e-007	45	1.6433e+006	
4.99652	0	45.1166	1.60731e+006	
5.049	0	43.0208	1.93373e+006	
3	0	42.1333	2.15917e+006	
2.3541	0	40.0955	2.4683e+006	
4.8541	0	40.1306	2.40732e+006	
5.2801	0	37.7784	2.71064e+006	
2.5515	0	37.591	3.20788e+006	
2.51205	0	34.546	3.777e+006	
5.1198	0	35.9038	3.04541e+006	
5.04086	0	33.3616	3.35548e+006	
2.56208	0	32.3541	4.09087e+006	
2.5	-7.15256e-007	30	4.07907e+006	
4.84512	0	30.1502	3.92288e+006	
5.15691	0	27.9486	4.10121e+006	
2.53294	0	27.6151	5.01528e+006	
2.56588	0	24.688	5.48617e+006	
5.1315	0	25.9254	4.48851e+006	
5.09189	0	23.381	4.73051e+006	
2.5	-7.15256e-007	22.5	5.78518e+006	
2.26393	0	19.8161	5.68008e+006	
4.86801	0	20.1459	5.35376e+006	
5.28614	0	17.7907	5.52455e+006	
2.50429	0	17.3438	6.77588e+006	
2.47883	0	14.5842	7.2496e+006	
5.12664	0	15.9102	5.97728e+006	
5.01705	0	13.3699	6.25122e+006	
2.71497	0	12.3005	7.4865e+006	
2.3541	0	10.0743	7.28929e+006	
4.77462	0	10.183	7.10098e+006	
5.37244	0	7.65827	7.47518e+006	
2.47304	0	7.6459	8.79018e+006	
7.5025	0	9.18306	7.10192e+006	
7.67264	0	6.35157	7.72103e+006	
10.4849	0	9.47492	6.91507e+006	
9.84776	0	7.55108	7.29069e+006	
12.3814	0	10.8468	6.58358e+006	
12.4897	0	7.396	7.14724e+006	
15.0936	0	9.23325	6.68884e+006	
15.2072	0	7.22637	6.96158e+006	
17.1305	0	10.5571	6.36803e+006	
17.8581	0	7.73358	6.69669e+006	
20.0855	0	9.27412	6.33378e+006	
20.1021	0	7.37204	6.569e+006	
22.3014	0	10.8018	5.98073e+006	
22.5313	0	7.38487	6.37286e+006	
25.1432	0	9.18264	5.9464e+006	
25.3027	0	7.20031	6.16163e+006	
27.543	0	10.3658	5.61261e+006	
27.8874	0	7.6905	5.87231e+006	
30.135	0	9.41804	5.47763e+006	
30.1103	0	7.35235	5.69991e+006	
32.3252	0	10.6558	5.14674e+006	
32.4974	0	7.3878	5.45241e+006	
35.1044	0	9.36986	4.9855e+006	
35.2072	0	7.22635	5.17866e+006	
37.0404	0	10.638	4.66644e+006	
37.8627	0	7.67992	4.83149e+006	
40.1919	0	9.51063	4.40418e+006	
39.9686	0	7.49843	4.59541e+006	
42.2256	0	10.7943	4.06536e+006	
42.5101	0	7.40591	4.29338e+006	
44.7639	0	9.38019	3.90734e+006	
44.9924	0	7.26229	3.98677e+006	
44.5096	0	12.3135	3.69544e+006	
42.5588	0	13.3569	3.84561e+006	
42.5746	0	15.0638	3.72043e+006	
40.2774	0	14.6847	3.99006e+006	
39.7135	0	11.882	4.26849e+006	
37.5	-7.15256e-007	15	4.2472e+006	
37.4902	0	13.2768	4.38891e+006	
34.6512	0	14.7561	4.53318e+006	
34.6583	0	11.9601	4.7925e+006	
32.4995	0	15.0216	4.70097e+006	
32.5581	0	13.2927	4.86177e+006	
30.3021	0	14.7682	4.90836e+006	
29.4721	0	11.9805	5.27058e+006	
27.4343	0	15.2361	5.08407e+006	
27.5021	0	13.2887	5.29048e+006	
24.6512	0	14.7561	5.33349e+006	
24.7317	0	11.9606	5.65784e+006	
22.4998	0	15.0218	5.44215e+006	
22.5581	0	13.2927	5.65264e+006	
20.3022	0	14.7685	5.60511e+006	
19.382	0	11.8947	6.04075e+006	
17.1047	0	15.7639	5.62763e+006	
17.5007	0	13.2897	5.96024e+006	
14.8898	0	14.3799	5.91971e+006	
14.6551	0	11.9623	6.29606e+006	
12.5657	0	15.0685	5.87736e+006	
12.5754	0	13.304	6.17018e+006	
10.6628	0	15.0955	5.91801e+006	
9.93995	0	12.1517	6.42571e+006	
7.87246	0	14.83	5.98979e+006	
